Accident_ID,Time_of_Day,Road_Condition,Weather_Condition,Latitude,Longitude
1,Evening,Wet,Foggy,54.152654281089745,0.27518922106303023
2,Night,Icy,Snowy,53.83345502103785,-0.35472205345282326
3,Morning,Dry,Rainy,50.20513652645148,-2.264710485444267
4,Evening,Dry,Snowy,52.72998262100925,1.5604714361193306
5,Evening,Dry,Snowy,53.041564950286855,-5.995254844715972
6,Night,Dry,Foggy,53.1905822471752,-6.907357896903786
7,Morning,Snowy,Snowy,54.64137895381866,0.5396196695542219
8,Morning,Dry,Foggy,54.268820373815025,-3.608501833662517
9,Evening,Snowy,Clear,54.86324074234756,0.46968854207060495
10,Afternoon,Snowy,Clear,56.11906609233703,0.9309020519541491
11,Evening,Dry,Foggy,56.50388590972875,-7.375424063809286
12,Evening,Dry,Clear,55.74498460981196,0.8346476298606067
13,Evening,Wet,Rainy,57.64418956763948,-3.5168094463057784
14,Evening,Icy,Snowy,50.14586066141089,-2.8956751099576774
15,Night,Dry,Rainy,51.56622388546837,-1.734074889067898
16,Morning,Wet,Snowy,50.06050299982514,1.263826067300867
17,Night,Wet,Clear,55.17979771323682,-7.80883905570236
18,Night,Icy,Rainy,57.1842443915999,-3.231565316821829
19,Night,Snowy,Clear,51.9478583726104,-1.122779575694393
20,Evening,Dry,Snowy,57.41627635837045,-0.7729304230177156
21,Afternoon,Icy,Foggy,50.48213912231649,-1.0746756846289198
22,Morning,Dry,Foggy,57.47548821444411,-6.655648705918781
23,Afternoon,Wet,Rainy,52.81298149791708,-5.006044116283188
24,Night,Wet,Clear,50.811366627593735,-4.412844745829865
25,Night,Snowy,Clear,53.886974073490606,0.04437207679504951
26,Afternoon,Wet,Rainy,52.054212541764066,-5.21240127585447
27,Afternoon,Wet,Foggy,52.27898321569538,-5.892950361327968
28,Afternoon,Icy,Snowy,52.45831971941029,1.574480190380962
29,Night,Dry,Rainy,56.424207182661306,-7.9113671488653114
30,Night,Dry,Snowy,54.313290213402034,1.9782085568197818
31,Morning,Icy,Foggy,52.49046159324803,-1.2317870114260439
32,Morning,Snowy,Clear,54.882670266487345,0.28469299449117
33,Night,Dry,Foggy,55.72920539378555,-5.053806036538068
34,Afternoon,Wet,Rainy,52.18099200586827,-7.8568472233294
35,Afternoon,Dry,Clear,53.30839281220281,-0.6213048143846995
36,Morning,Wet,Rainy,50.97508874669558,0.3414459700067578
37,Night,Snowy,Rainy,51.44919479627744,-0.5952386804648082
38,Morning,Icy,Foggy,55.44894283171986,-6.5714971269916145
39,Morning,Dry,Rainy,51.451506781565016,-0.4657207774303096
40,Evening,Icy,Foggy,54.20130706933648,-0.31077217892359066
41,Evening,Dry,Clear,55.67237009377946,-1.4145948432994508
42,Evening,Wet,Foggy,50.85501538475795,-0.3388406720441379
43,Afternoon,Icy,Clear,54.53849775703123,0.45921439677732145
44,Night,Dry,Foggy,52.05250226961091,-1.8639588576254162
45,Night,Wet,Snowy,57.70341500190064,-7.113952860303209
46,Night,Icy,Snowy,53.8683651737594,-3.1237219033278913
47,Night,Icy,Rainy,56.44794039820127,-7.223506653283949
48,Evening,Dry,Foggy,54.40181233725009,-3.9245696896756916
49,Afternoon,Dry,Foggy,50.34730026283855,-3.9289351087437234
50,Afternoon,Dry,Clear,55.06521100475218,-7.339901558597584
51,Evening,Wet,Rainy,57.611226737653254,-4.511794660305207
52,Afternoon,Dry,Foggy,54.81289456117065,-6.890019012086851
53,Evening,Icy,Rainy,56.55351087541432,0.08235210009222094
54,Night,Icy,Snowy,57.07365170678726,1.476880259644707
55,Evening,Dry,Foggy,51.82463817559146,-7.276835247420614
56,Night,Dry,Foggy,51.69635871926582,1.5511520729170147
57,Night,Snowy,Rainy,54.887847910807935,-2.7742340066325486
58,Morning,Icy,Foggy,53.28822775845364,-5.004343220461261
59,Evening,Wet,Rainy,56.71889042293376,-7.231379247238365
60,Morning,Snowy,Foggy,57.20018498718409,-2.9937573192958222
61,Evening,Dry,Clear,52.827371034421745,-0.0548445550925134
62,Evening,Dry,Rainy,51.89496447179586,-0.9291352273330187
63,Morning,Icy,Foggy,56.244204121950894,-7.497739885360263
64,Morning,Dry,Snowy,52.19844828438509,-7.270981646320965
65,Evening,Wet,Foggy,56.580914548109426,-3.9712671736736294
66,Afternoon,Icy,Snowy,53.3899060291901,-5.047095059520567
67,Night,Dry,Snowy,55.340399194331766,-5.676156769439522
